Hora,R,G,B,L,a,b
00:36:23,85,44,48,23.493511109226176,19.34501771744629,5.83019407452362
00:36:45,88,46,48,24.45741703491519,19.419533142330636,7.249955565621901
00:39:11,217,114,110,59.81194499668203,39.77390643968065,20.60590314993338
00:46:17,3,1,1,0.39078266429527275,0.5229587011977427,0.18420354007738227
